Tipo_Acero_Limpio,Grado_Acero,Ciclo,Familia,Muestra_Probeta_Temp,Soaking,,Alarg Max Req (merged),Alarg Min Req (merged),Alarg. Obt. (%) (merged),Fluencia 0.2% Obt (merged),Fluencia 0.5% Obt (merged),Fluencia 0.6% Obt (merged),Fluencia 0.7% Obt (merged),Fluencia Max Req (merged),Fluencia Min Req (merged),Fluencia Offset Obt (merged),Rotura Max Req (merged),Rotura Min Req (merged),Rotura Obt (merged),,,Dureza Ind. Máx. Obt 1 (merged),Dureza Ind. Max. Req (merged),Dureza Ind. Mín. Obt 1 (merged),Dureza Ind. Min. Req (merged),Dureza Prom. Máx. Obt 1 (merged),Dureza Prom. Max. Req (merged),Dureza Prom. Mín. Obt 1 (merged),Dureza Prom. Mín. Req (merged),,,Area Dúctil Indiv. Max. Req (%) (merged),Area Dúctil Indiv. Min. Obt (%) (merged),Area Dúctil Indiv. Min. Req (%) (merged),Area Dúctil Prom. Max. Req (%) (merged),Area Dúctil Prom. Min. Obt (%) (merged),Area Dúctil Prom. Min. Req (%) (merged),Energia Indiv. Max. Req. (J) (merged),Energia Indiv. Min. Obt. (J) (merged),Energia Indiv. Min. Req. (J) (merged),Energia Prom. Max. Req. (J) (merged),Energia Prom. Min. Obt. (J) (merged),Energia Prom. Min. Req. (J) (merged),Temp Ensayo Req (merged)
DS747,13-5-2 95,11815,TN95 Super Cr13,4027192-6190727-590,45,,,,,,,,,,,,,,,,,26.6,28,26.4,,26.53,27,26.53,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4030882-6198860-590,45,,,,33.5,710,,,,758,655,,,724,822,,,,,,,,,,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4030882-6198861-590,45,,,,,,,,,,,,,,,,,27.4,30,24.2,,26.93,28,25.47,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4030882-6198863-590,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,159,,,161,40,-10
DS742,13-5-2 95,3067,TN95 Super Cr13,4030882-6198864-590,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,163,,,170,,0
DS641,TD950,32354,,4211294-6458932-410,S/TT,,,,,,,,,,,,,,,,,28.2,,28,,28.1,,28.1,,,,,,,,,,,,,,,,
DS641,TD950,32354,,4212346-6461382-410,S/TT,,,15,8,,,,,,850,853,,950,929,,,,,,,,,,,,,,,,,,,,,,,,,
DS747,13-5-2 95,11815,TN95 Super Cr13,4027193-6189745-600,45,,,15,25.5,687,684,,,724,655,,,724,842,,,,,,,,,,,,,,,,,,,,,,,,,
DS747,13-5-2 95,11815,TN95 Super Cr13,4027193-6189747-600,45,,,,,,,,,,,,,,,,,27.2,28,26.7,,26.9,27,26.9,,,,,,,,,,,,,,,,
DS747,13-5-2 95,11815,TN95 Super Cr13,4027193-6189749-600,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,80,,,83,22,-10
DS747,13-5-2 95,11815,TN95 Super Cr13,4027193-6189750-600,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,81,,,86,,0
DS747,13-5-2 95,11815,TN95 Super Cr13,4027193-6190728-600,45,,,,,,,,,,,,,,,,,27.3,28,26.5,,26.87,27,26.87,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4035431-6207037-595,45,,,,36.5,686,,,,758,655,,,724,803,,,,,,,,,,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4035431-6207038-595,45,,,,,,,,,,,,,,,,,27.2,30,24.5,,26.6,28,25.3,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4035431-6207040-595,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,143,,,143,,-10
DS742,13-5-2 95,3067,TN95 Super Cr13,4035431-6207041-595,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,151,,,154,,0
DS742,13-5-2 95,3067,TN95 Super Cr13,4030883-6198869-600,45,,,,32.5,671,,,,758,655,,,724,808,,,,,,,,,,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4030883-6198870-600,45,,,,,,,,,,,,,,,,,26.1,30,23.6,,25.47,28,24.27,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4030883-6198872-600,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,156,,,162,40,-10
DS742,13-5-2 95,3067,TN95 Super Cr13,4030883-6198873-600,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,162,,,165,,0
DS433,N80Q,11811,N80,4031926-6199233-600,40,,,18.3,31,,934,,,758,552,935,,689,1010,,,,,,,,,,,,,,,,,,,,,,,,,
DS433,N80Q,11811,N80,4031926-6199234-600,40,,,,,,,,,,,,,,,,,32.7,,32.1,,32.63,,32.1,,,,,,,,,,,,,,,,
DS433,N80Q,11811,N80,4031926-6199236-600,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,85,,,102,18,,102,,0
DS641,TD950,32354,,4211718-6459009-420,5,,,15,10,,,,,,850,920,,950,979,,,,,,,,,,,,,,,,,,,,,,,,,
DS641,TD950,32354,,4211718-6459010-420,5,,,,,,,,,,,,,,,,,31.6,,30.9,,31.2,,31.2,,,,,,,,,,,,,,,,
DS641,TD950,32354,,4211718-6459012-420,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,5,,,6,,0
DS433,P110,11812,P110,4033354-6198907-600,20,,,,24.5,,,957,,965,758,959,,862,1030,,,,,,,,,,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4033354-6198908-600,20,,,,,,,,,,,,,,,,,34.9,,34.9,,34.63,,34.63,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4033354-6198910-600,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,62,,,66,,0
DS742,13-5-2 95,3067,TN95 Super Cr13,4030884-6198846-610,45,,,,34.5,655,,,,758,655,,,724,805,,,,,,,,,,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4030884-6198847-610,45,,,,,,,,,,,,,,,,,26.4,30,23.7,,26.17,28,25.03,,,,,,,,,,,,,,,,
DS742,13-5-2 95,3067,TN95 Super Cr13,4030884-6198849-610,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,157,,,159,40,-10
DS742,13-5-2 95,3067,TN95 Super Cr13,4030884-6198850-610,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,159,,,161,,0
DS433,P110,11812,P110,4052467-6227363-600,10,,,,22.5,,,1018,,965,758,1019,,862,1093,,,,,,,,,,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4052467-6227364-600,10,,,,,,,,,,,,,,,,,37.4,,37.4,,37.23,,37.23,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4052467-6227366-600,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,52,,,54,,0
DS433,N80Q,11811,N80,4035837-6207024-620,40,,,18.3,30,,857,,,758,552,871,,689,965,,,,,,,,,,,,,,,,,,,,,,,,,
DS433,N80Q,11811,N80,4035837-6207025-620,40,,,,,,,,,,,,,,,,,32.5,,31.8,,32.33,,31.97,,,,,,,,,,,,,,,,
DS433,N80Q,11811,N80,4035837-6207027-620,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,95,,,109,,,114,,0
DS433,P110,11812,P110,4033355-6198954-625,20,,,,25,,,913,,965,758,914,,862,981,,,,,,,,,,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4033355-6198955-625,20,,,,,,,,,,,,,,,,,32.8,,32.8,,32.57,,32.57,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4033355-6198957-625,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,72,,,73,,0
DS641,TD950,32354,,4211719-6459023-450,5,,,15,12.5,,,,,,850,901,,950,965,,,,,,,,,,,,,,,,,,,,,,,,,
DS641,TD950,32354,,4211719-6459024-450,5,,,,,,,,,,,,,,,,,31.8,,30.6,,31.17,,31.17,,,,,,,,,,,,,,,,
DS641,TD950,32354,,4211719-6459026-450,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,4,,,5,,0
DS035,1035 BKS,35822,1035,4138900-6362781-530,5,,,12,18,593,,,,,550,,,650,684,,,,,,,,,,,,,,,,,,,,,,,,,
DS747,13-5-2 95,11815,TN95 Super Cr13,4065925-6249880-605,45,,,,24.5,633,,,,724,655,,,724,817,,,,,,,,,,,,,,,,,,,,,,,,,
DS747,13-5-2 95,11815,TN95 Super Cr13,4065925-6249882-605,45,,,,,,,,,,,,,,,,,25.7,28,25.4,,25.57,,25.57,,,,,,,,,,,,,,,,
DS747,13-5-2 95,11815,TN95 Super Cr13,4065925-6249884-605,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,84,,,87,22,-10
DS747,13-5-2 95,11815,TN95 Super Cr13,4065925-6249885-605,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,86,,,88,,0
DS748,13-5-2 95,3228,TN95 Super Cr13,4084792-6286934-590,45,,,,35,699,673,,,724,655,,,724,840,,,,,,,,,,,,,,,,,,,,,,,,,
DS748,13-5-2 95,3228,TN95 Super Cr13,4084792-6286936-590,45,,,,,,,,,,,,,,,,,27.2,,25.9,,27.2,,26.3,,,,,,,,,,,,,,,,
DS748,13-5-2 95,3228,TN95 Super Cr13,4084792-6286938-590,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,150,40,,153,60,-10
DS748,13-5-2 95,3228,TN95 Super Cr13,4084792-6286939-590,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,163,,,167,,0
DS433,N80Q,11811,N80,4024903-6193947-650,40,,,18.3,34,,841,,,758,552,852,,689,902,,,,,,,,,,,,,,,,,,,,,,,,,
DS433,N80Q,11811,N80,4024903-6193948-650,40,,,,,,,,,,,,,,,,,29.3,,28.2,,29.1,,28.43,,,,,,,,,,,,,,,,
DS433,N80Q,11811,N80,4024903-6193950-650,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,138,18,,141,,0
DS641,TD900,32321,,4164712-6396904-510,S/TT,,,,,,,,,,,,,,,,,33.8,,33.4,,33.63,,33.63,,,,,,,,,,,,,,,,
